"package","D.Obs","P0","P1"
"keyutils",-1.90200622124414,0.99,0
"klibc.utils",-2.90779962403508,0.96,0.005
"kmod",-0.169869814521204,0.6475,0.01
"lame",1.16167893906832,0.05,0.61
"laptop.detect",-0.930906813808732,0.885,0
"leafpad",0.123772863509489,0.5075,0.045
"less",0.622378622610616,0.25,0.215
"liba",0.347106112595405,0.3575,0.0825
"libabw",1.72152822578656,0.0025,0.975
"libacl",-5.89978744651155,0.93,0
"libao",0.978618093386264,0.0825,0.4275
"libao.common",1.10150745331488,0.0375,0.6125
"libapt.inst",1.09825294164234,0.1625,0.515
"libapt.pkg",1.40270751629478,0.1025,0.69
"libapt.pkg.perl",0.0926235522916359,0.505,0.0075
"libarchive",0.211440011174605,0.47,0.1275
"libasan",0.709174978792794,0.15,0.175
"libasn",0.62831382959594,0.1975,0.155
"libasound",3.87188114234112,0.0275,0.91
"libasound.data",0.448937538913608,0.325,0.1075
"libasound.plugin.equal",-2.61120498658905,0.765,0.085
"libaspell",1.07954819437289,0.205,0.5025
"libasprintf",0.740743331576728,0.165,0.2
"libass",0.452752198621595,0.3275,0.095
"libassuan",1.27320641612548,0.0175,0.78
"libasyncns",0.518244872951232,0.3375,0.2825
"libatasmart",0.359554088630351,0.3875,0.165
"libatk",2.27727097846313,0.1075,0.745
"libatk.bridge",0.350032160944715,0.36,0.065
"libatkmm",0.947565744095722,0.0775,0.4075
"libatm",0.139001867861111,0.465,0.0175
"libatomic",0.723228928271495,0.15,0.1825
"libatspi",0.545348889981181,0.2725,0.165
"libaudio",1.58085474888838,0.005,0.9125
"libaudiofile",0.679924075744711,0.1725,0.1775
"libaudit",-0.0122490782858963,0.5675,0.0475
"libaudit.common",0.355848720251618,0.335,0.0475
"libavahi.client",-3.07476923591547,0.9775,0.01
"libavahi.common",-3.19806584908714,0.97,0.01
"libavahi.common.data",-2.19193418125685,0.93,0.005
"libavahi.core",0.770907869171194,0.1575,0.2825
"libavcodec",1.56183332879038,0.005,0.965
"libavdevice",1.28791702396359,0.0325,0.7175
"libavfilter",0.962711467055329,0.13,0.4675
"libavformat",1.44075824766584,0.0025,0.92
