Distribution,HPD,Rank,Packages,Scope_width,Scope_special,Scope,Country,Parent,Parent_simple
NAS4Free,65,149,NA,1,1,Network-Attached Storage,Netherlands,FreeBSD,BSD
OpenMediaVault,65,150,348,1,1,Network Attached Storage,Germany,Debian,Debian
Rescatux,65,151,633,1,1,Data Rescue,Spain,Debian,Debian
APODIO,64,152,3064,2,1,"Multimedia, Live Medium",France,Debian,Debian
Webconverger,64,153,623,2,1,"Live Medium, Specialist",Singapore,Debian,Debian
Zentyal,64,154,1280,2,2,"Security, Server",Spain,Debian,Debian
LuninuX,63,155,2483,2,0,"Desktop, Live Medium",USA,Debian,Debian
WM Live,63,156,1541,2,0,"Desktop, Live Medium",Spain,Debian,Debian
openmamba,60,157,1622,4,2,"Desktop, Live Medium,Netbooks, Server",Italy,Independent,Other
Pentoo,60,158,1747,2,1,"Live Medium, Security",Switzerland,Gentoo,Gentoo
SymphonyOS,60,159,846,2,0,"Desktop, Live Medium",USA,Debian,Debian
Haiku,59,160,NA,2,0,"Desktop, Live Medium",USA,Independent,Other
Plamo,59,161,1514,2,1,"Desktop, Server",Japan,Slackware,Slackware
SuperX,59,162,1915,3,1,"Beginners, Desktop, Live Medium",India,Debian,Debian
Devil,58,163,590,3,2,"Firewall, Server, Live Medium",USA,Independent,Other
MINIX,58,164,4284,1,1,Education,Netherlands,Independent,Other
Finnix,57,165,464,2,1,"Data Rescue, Live Medium",USA,Debian,Debian
RebeccaBlackOS,57,166,1394,2,0,"Desktop, Live Medium",USA,Debian,Debian
Edubuntu,56,167,2357,2,1,"Education, Live Medium",Isle of Man,Debian,Debian
Parrot,56,168,3210,3,2,"Forensics, Live Medium, Security",Italy,Debian,Debian
Plop,56,169,425,4,2,"Data Rescue, Desktop, Live Medium, Raspberry Pi",Austria,Independent,Other
Toutou,56,170,441,3,2,"Beginners, Desktop, Old Computers",France,Puppy,Puppy
SME Server,53,171,872,1,1,Server,USA,Red Hat,Red Hat
URIX,53,172,1477,3,2,"Forensics, Live DVD, Security",Bulgaria,openSUSE,openSUSE
XStreamOS,53,173,NA,2,1,"Desktop, Server",Italy,Solaris,Solaris
Frugalware,52,174,4115,1,0,Desktop,Hungary,Independent,Other
Lunar,52,175,3369,1,1,Source-based,USA,Independent,Other
Bio-Linux,51,176,3057,2,1,"Live Medium, Scientific",UK,Debian,Debian
KXStudio,51,177,2022,3,1,"Desktop, Live Medium, Multimedia",Portugal,Debian,Debian
Musix,51,178,1783,3,2,"Free Software, Live Medium, Multimedia",Argentina,Debian,Debian
Baruwa,50,179,647,1,1,Server,South Africa,Red Hat,Red Hat
KANOTIX,50,180,1683,2,0,"Desktop, Live Medium",Germany,Debian,Debian
Pardus,50,181,2613,2,0,"Desktop, Live Medium",Turkey,Debian,Debian
Skolelinux,50,182,6185,3,2,"Desktop, Education, Thin Client",Norway,Debian,Debian
BlankOn,49,183,1508,2,0,"Desktop, Live Medium",Indonesia,Debian,Debian
Leeenux,49,184,1514,2,1,"Live Medium, Netbooks",Serbia,Debian,Debian
Linpus,49,185,1369,3,1,"Desktop, Live Medium, Netbooks",Taiwan,Cinnamon,Other
BOSS,48,186,1959,4,2,"Desktop, Education, Live Medium, Server",India,Debian,Debian
DEFT,48,187,1931,2,1,"Live Medium, Forensics",Italy,Debian,Debian
Endian,48,188,420,1,1,Firewall,Italy,Red Hat,Red Hat
NST,47,189,2637,2,1,"Live Medium, Security",USA,Red Hat,Red Hat
Peach OSI,47,190,2499,2,0,"Desktop, Live Medium",USA,Debian,Debian
Rocks Cluster,47,191,2831,2,2,"Clusters, High Performance Computing",USA,Fedora,Red Hat
Runtu,47,192,1219,3,1,"Desktop, Live Medium, Netbooks",Russia,Debian,Debian
MirOS,46,193,NA,2,2,"Security, Server",Germany,OpenBSD,BSD
