package.name,ntaxa,mpd.obs,mpd.rand.mean,mpd.rand.sd,mpd.obs.rank,mpd.obs.z,mpd.obs.p,runs,host.specialist
nordugrid-arc-aris,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-cache-service,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-ca-utils,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-client,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-client virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-datadelivery-service,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-dbg,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-dev,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-dev virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-doc,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-doc virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-egiis,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-gridftpd,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-grid-manager virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-gridmap-utils,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-hed,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-infoindex virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-infosys-ldap virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-java,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-java virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-ldap-infosys,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-ldap-monitor,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-libs-devel virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-libs virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-misc-utils,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-monitor virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-nox-arex virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-nox-cache-service virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-nox-client virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-nox-datadelivery-service virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-nox-dbg virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-nox-dev virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-nox-doc virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-nox-giis virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-nox-gridftp-server virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-nox-hed virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-nox-java virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-nox-ldap-infosys virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-nox-plugins-base virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-nox-plugins-globus virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-nox-python virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-nox virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-plugins-base virtual,1,NA,NA,NA,NA,NA,NA,999,NA
